YearsExperience,Salary
4.64,55991.98
0.75,35903.55
5.72,65847.46
4.64,60105.1
4.49,57756.83
3.64,57466.78
2.44,37688.16
6.38,72443.3
3.35,51621.89
3.03,47311.46
6.4,73094.13
5.53,53805.59
1.78,45326.09
5.38,63824.31
2.25,38967.47
7.96,79492.37
8.61,80443.65
5.2,71541.18
8.54,88581.33
1.26,39322.76
5.3,58922.98
1.12,34386.34
4.57,56119.8
1.42,36279.06
1.71,36651.02
6.17,64656.11
2.65,44795.28
1.52,37052.46
2.59,42745.64
3.82,49204.43
4.94,69841.75
2.42,38627.31
6.58,65394.34
5.09,62269.58
5.3,60505.68
4.18,56775.3
8.04,81436.72
6.01,71110.45
2.04,45247.86
7.16,68984.96
9.66,92396.57
5.25,54440.33
8.95,83242.31
3.75,50507.3
5.89,61096.8
4.56,59726.67
4.65,57166.97
7.88,81359.42
5.59,57610.14
9.56,90745.25
5.67,66011.76
1.28,38186.02
3.98,48204.76
8.58,80472.9
4.36,49973.3
0.76,26229.39
2.85,60218.98
1.14,40723.45
9.94,96810.37
9.72,86603.95
8.1,81384.79
6.22,70109.67
7.77,79026.06
2.11,42674.64
3.28,48767.01
5.48,54601.55
3.89,55780.58
0.93,37273.99
9.84,93511.55
4.69,57043.03
5.29,68707.25
3.57,49630.0
2.97,42798.29
4.18,58832.65
8.4,78526.61
7.5,69981.12
4.1,55099.29
0.62,36746.01
8.08,79445.76
3.06,50349.7
6.04,82674.77
0.74,37724.48
6.79,76867.04
4.18,47136.62
5.22,62780.21
4.44,59736.33
3.83,51522.08
5.73,60876.08
9.74,90026.08
1.57,38161.53
3.48,48504.98
0.9,39998.0
7.51,80402.26
6.75,71710.52
2.54,43423.09
4.46,58817.48
6.62,73037.83
6.78,73202.49
2.12,36906.54
8.88,81927.93
