comment,label
You're so bad,toxic
I learned a lot,supportive
Waste of time,toxic
Thanks for sharing,supportive
Worst video ever,toxic
You're so talented,supportive
Worst video ever,toxic
I learned a lot,supportive
You sound horrible,toxic
So clear and helpful,supportive
You're such a loser,toxic
Thanks for sharing,supportive
cringe content,toxic
You're a genius,supportive
Worst video ever,toxic
Awesome explanation,supportive
Clickbait title,toxic
Thanks for the content,supportive
Worst video ever,toxic
I learned a lot,supportive
This is trash,toxic
You're amazing!,supportive
Can't believe people like this,toxic
Thanks for the content,supportive
You're such a loser,toxic
You're so talented,supportive
cringe content,toxic
I learned a lot,supportive
Waste of time,toxic
I learned a lot,supportive
Clickbait title,toxic
Best tutorial I've seen,supportive
You're such a loser,toxic
You're amazing!,supportive
cringe content,toxic
Thanks for sharing,supportive
This is trash,toxic
Thanks for the content,supportive
You're so dumb,toxic
You're amazing!,supportive
Can't believe people like this,toxic
Awesome explanation,supportive
Worst video ever,toxic
I learned a lot,supportive
cringe content,toxic
Keep up the great work,supportive
You're so bad,toxic
Thanks for the content,supportive
Clickbait title,toxic
So clear and helpful,supportive
cringe content,toxic
So clear and helpful,supportive
You sound horrible,toxic
Best tutorial I've seen,supportive
Can't believe people like this,toxic
Legend!,supportive
Stop making content,toxic
Awesome explanation,supportive
You're so bad,toxic
Best tutorial I've seen,supportive
You're so bad,toxic
Keep up the great work,supportive
Stop making content,toxic
You're so talented,supportive
You're such a loser,toxic
Awesome explanation,supportive
Worst video ever,toxic
You're so talented,supportive
Worst video ever,toxic
Best tutorial I've seen,supportive
Stop making content,toxic
Keep up the great work,supportive
Can't believe people like this,toxic
Best tutorial I've seen,supportive
Can't believe people like this,toxic
Keep up the great work,supportive
Worst video ever,toxic
You're amazing!,supportive
You're so dumb,toxic
Legend!,supportive
Clickbait title,toxic
You're amazing!,supportive
Stop making content,toxic
You're so talented,supportive
Can't believe people like this,toxic
I learned a lot,supportive
You sound horrible,toxic
You're so talented,supportive
Clickbait title,toxic
Awesome explanation,supportive
You're so dumb,toxic
Thanks for sharing,supportive
You're such a loser,toxic
Legend!,supportive
This is trash,toxic
So clear and helpful,supportive
Stop making content,toxic
You're amazing!,supportive
You're so dumb,toxic
You're so talented,supportive
